#{"t_start": 1699569896.4480276, "env_id": "Pendulum-v1"}
r,l,t
-247.553024,200,363.737135
-266.902019,200,363.985558
-361.952928,200,364.256492
-123.733011,200,364.544461
-132.00242,200,364.77488
-252.969632,200,365.006608
-125.150532,200,370.272709
-127.224933,200,370.574457
-123.488533,200,370.847227
-247.887931,200,371.091456
-241.653896,200,371.354629
-122.244803,200,371.603668
-126.517129,200,371.861385
-237.276682,200,372.109688
-241.382238,200,372.351509
-127.843332,200,372.603914
-131.022223,200,378.577557
-117.206221,200,378.853943
-127.647006,200,379.13693
-1.751577,200,379.372306
-125.118091,200,379.61956
-124.77176,200,379.868145
-360.536634,200,380.101295
-0.822757,200,380.349999
-131.216555,200,380.641366
-124.197792,200,380.891531
-128.178432,200,386.72572
-266.241727,200,387.01707
-266.108921,200,387.258603
-0.599409,200,387.497611
-127.520972,200,387.736583
-128.453949,200,387.969631
-120.830519,200,388.195366
-241.320874,200,388.494863
-2.697489,200,388.723176
-122.005885,200,388.962805
-121.337928,200,395.187179
-245.217718,200,395.498278
-254.569503,200,395.777062
-125.851793,200,396.05822
-123.421345,200,396.304206
-120.089101,200,396.552519
-0.946905,200,396.80059
-269.022125,200,397.067745
-245.077942,200,397.310947
-123.307492,200,397.547437
-0.769039,200,397.779649
-124.963115,200,403.093892
-125.788497,200,403.371188
-123.051985,200,403.630664
-121.913126,200,403.87461
-0.86982,200,404.116795
-122.388092,200,404.360202
-249.94808,200,404.636286
-127.641386,200,404.898641
-282.612209,200,405.15553
-3.078143,200,405.394099
-125.61776,200,410.608312
-265.325574,200,410.918993
-325.327698,200,411.174236
-124.714925,200,411.444679
-128.187357,200,411.723447
-126.270558,200,411.991178
-242.603342,200,412.260521
-330.589415,200,412.50691
-246.383497,200,412.77843
-125.99822,200,413.073993
-124.16572,200,418.722882
-126.034877,200,419.034615
-262.943337,200,419.288859
-251.577535,200,419.537537
-125.618126,200,419.858844
-238.973106,200,420.201465
-380.760368,200,420.51529
-1.981276,200,420.759757
-0.71766,200,421.069092
-299.576677,200,421.38514
-239.528672,200,427.384861
-267.21056,200,427.714111
-126.902832,200,427.974432
-255.559064,200,428.227079
-0.561037,200,428.505421
-250.93451,200,428.783279
-1.711201,200,429.087653
-127.282557,200,429.346442
-123.684848,200,429.604032
-126.840099,200,429.864631
-127.882566,200,436.050665
-2.928932,200,436.332778
-126.984204,200,436.615861
-123.613537,200,436.891908
-0.709113,200,437.201073
-124.989593,200,437.452434
-234.711082,200,437.702081
-123.081115,200,437.959564
-243.272953,200,438.269166
-123.516304,200,438.542043
-238.408112,200,438.805425
-242.216111,200,444.956591
-124.972566,200,445.265872
-237.746357,200,445.535301
-247.643154,200,445.782351
-128.384978,200,446.030499
-356.010548,200,446.308197
-240.146382,200,446.615936
-124.408345,200,446.930003
-356.004469,200,447.217762
-125.962923,200,447.50295
-261.976721,200,453.33385
-367.519545,200,453.667634
-247.916147,200,454.010947
-256.259612,200,454.340022
-261.303982,200,454.660467
-395.749213,200,454.929527
-121.032785,200,455.182701
-117.187889,200,455.455841
-127.424629,200,455.723188
-122.303257,200,455.975431
-117.796212,200,462.194726
-269.479518,200,462.508147
-116.341541,200,462.839235
-119.214333,200,463.142673
-248.546459,200,463.432132
-122.636308,200,463.6882
-1.035361,200,463.947133
-1.776218,200,464.179272
-123.112501,200,464.410994
-1.573573,200,464.647848
-123.692586,200,470.009459
-125.676769,200,470.317497
-243.974169,200,470.602355
-247.949476,200,470.849792
-253.928304,200,471.109428
-131.290812,200,471.357563
-124.651657,200,471.608442
-128.248489,200,471.859603
-130.03857,200,472.106888
-242.309421,200,472.355745
-123.124393,200,472.61692
-241.010289,200,478.982014
-124.711969,200,479.289593
-251.142565,200,479.608626
-127.558513,200,479.853021
-126.827904,200,480.105939
-124.479032,200,480.342638
-277.248571,200,480.598361
-124.897781,200,480.835664
-0.672689,200,481.074835
-125.554489,200,481.305274
-1.299353,200,486.776247
-1.817841,200,487.062087
-3.579894,200,487.34954
-2.437432,200,487.654166
-127.068758,200,487.94567
-118.705301,200,488.218475
-120.921782,200,488.475419
-125.834585,200,488.714703
-120.412427,200,488.970442
-125.436121,200,489.210876
-127.244399,200,495.079817
-270.851682,200,495.391781
-122.45601,200,495.687795
-117.865876,200,495.964446
-125.986593,200,496.254973
-124.906098,200,496.572147
-1.569742,200,496.908754
-238.450833,200,497.200558
-120.455785,200,497.461384
-244.966976,200,497.769007
